Date,"Transaction","Name","Memo","Amount","Category"
"2022-03-19","DEBIT","DEBIT PURCHASE DIVINE PINES    SPOKANE     WA","Download from usbank.com.4590","-38.61","Gas"
"2022-03-20","DEBIT","DEBIT PURCHASE -VISA AMZN Mktp US*1N5Amzn.com/bilWA","Download from usbank.com.4590","-31.11","Amazon"
"2022-03-21","DEBIT","DEBIT PURCHASE -VISA DELTA AIR   0062DELTA.COM   CA","Download from usbank.com.4590","-623.20","Travel"
"2022-03-22","DEBIT","RECURRING DEBIT PURCHASE PANDORA*INTERNETPDORA.COM/BICA","Download from usbank.com.4590","-5.43","Pandora"
"2022-03-23","CREDIT","ELECTRONIC DEPOSIT GONZAGA UNIVERSI","Download from usbank.com.","343.82","Income"
"2022-03-24","DEBIT","DEBIT PURCHASE SAFEWAY #3255   SPOKANE     WA","Download from usbank.com.4590","-19.59","Groceries"
"2022-03-25","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-2.60","Vending Machine"
"2022-03-26","DEBIT","DEBIT PURCHASE TARGET T- 4915 SSpokane     WA","Download from usbank.com.4590","-174.38","Travel"
"2022-03-27","DEBIT","DEBIT PURCHASE AMERIMART.      Spokane     WA","Download from usbank.com.4590","-33.80","Gas"
"2022-03-28","DEBIT","DEBIT PURCHASE SUPER 1 FOODS # SPOKANE     WA","Download from usbank.com.4590","-17.06","Groceries"
"2022-03-29","DEBIT","DEBIT PURCHASE VALUE VILLAGE - SPOKANE     WA","Download from usbank.com.4590","-54.45","Clothes"
"2022-03-30","DEBIT","DEBIT PURCHASE -VISA GONZAGA HEMMINGSSPOKANE     WA","Download from usbank.com.4590","-4.70","Food"
"2022-03-31","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-3.20","Vending Machine"
"2022-04-01","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-2.60","Vending Machine"
"2022-04-02","DEBIT","DEBIT PURCHASE -VISA KIM S KOREAN RESSPOKANE     WA","Download from usbank.com.4590","-12.90","Food"
"2022-04-03","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-5.63","Coffee"
"2022-04-04","DEBIT","ATM WITHDRAWAL US BANK GONZAGA SPOKANE     WAUS1","Download from usbank.com.4590","-100.00","Vet Bill"
"2022-04-05","DEBIT","RECURRING DEBIT PURCHASE TRACFONE    *SERTRACFONE.COMFL","Download from usbank.com.4590","-23.21","Phone"
"2022-04-06","DEBIT","DEBIT PURCHASE -VISA GONZAGA STARBCK SPOKANE     WA","Download from usbank.com.4590","-5.05","Coffee"
"2022-04-07","CREDIT","ELECTRONIC DEPOSIT GONZAGA UNIVERSI","Download from usbank.com.","286.51","Income"
"2022-04-10","DEBIT","DEBIT PURCHASE TRADER JOE'S #15SPOKANE     WA","Download from usbank.com.4590","-9.27","Groceries"
"2022-04-11","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-5.63","Coffee"
"2022-04-12","DEBIT","DEBIT PURCHASE -VISA GONZAGA HEMMINGSSPOKANE     WA","Download from usbank.com.4590","-7.08","Food"
"2022-04-13","DEBIT","DEBIT PURCHASE SHOE DEPT ENCORESPOKANE VALLWA","Download from usbank.com.4590","-31.57","Clothes"
"2022-04-14","DEBIT","DEBIT PURCHASE TOTAL WINE AND  SPOKANE VALLWA","Download from usbank.com.4590","-35.93","Groceries"
